,76.4243,590.585,2976.55,43.3001
,1933.58,231.608,645.69,50
,2367.72,12.7226,50,226.405
,3055.57,544.326,50,50
,3106.2,519.67,50,50
,3152.99,498.103,50,50
,3455.91,342.158,324.511,50
,3211.07,464.585,50,50
,3272.07,441.585,50,50
,3335.07,395.585,50,50
,3396.07,357.585,50,50
,3514.07,182.585,50,50
,3513.07,239.585,50,50
,3528.07,312.585,50,50
,3513.07,292.585,50,50
Ring,3624.59,245.585,50,50
Ring,3667.59,-136.415,50,50
Platform,1517.35,360.586,134.299,50
Ring,1296.75,339.585,50,50
Ring,701,398.585,50,50
Ring,2365.83,-42.8287,50,50
Ring,2072,165.585,50,50
Ring,2835.21,-243.415,50,50
Ring,631,400.406,50,50
Ring,765.993,398.777,50,50
